username,video_id,video_url,hashtags
edrecoverycoaches,7.4861E+18,,"['#1', '#dietingtips', '#dieting', '#loseweight', '#edrecovry', '#anarecoveryy', '#anarec0very']"
edrecoverycoaches,7.4858E+18,,"['#dieting', '#dietingtips', '#edrecovry', '#anarec0very', '#edrec0very', '#orthorexiarecovery']"
edrecoverycoaches,7.48534E+18,,"['#residential', '#edrec0very', '#edtreatmentcenter', '#edrecovry', '#anarecoveryy', '#anarec0very']"
edrecoverycoaches,7.48509E+18,,"['#edrecovry', '#edrec0very', '#anarecoveryy', '#edsheeranrecoveryy', '#anarec0very', '#bingeedrecovery', '#edrecoverybff']"
edrecoverycoaches,7.48472E+18,,"['#hungercues', '#intuitiveeating', '#eating', '#edrec0very', '#edrecovry', '#anarecoveryy', '#orthorexiarecovery']"
edrecoverycoaches,7.48428E+18,,"['#edrec0very', '#edrecoverybff', '#edrecovry', '#anarec0very', '#anarecovry']"
edrecoverycoaches,7.48399E+18,,"['#edrec0very', '#edrecovry', '#edrecoverybff']"
edrecoverycoaches,7.48354E+18,,"['#edrecovry', '#edrec0very', '#edrecoverybff', '#loveherwell', '#anarecovery']"
edrecoverycoaches,7.48321E+18,,"['#breakfastideas', '#edrecovry', '#edrecoverybff', '#anarecoveryy', '#anarecovry', '#miarecovery', '#breakfasttime', '#omelette']"
edrecoverycoaches,7.48288E+18,,"['#edrec0very', '#edrecovry', '#anarec0very', '#skinny', '#dietingtips', '#miarecovery']"
edrecoverycoaches,7.48251E+18,,"['#edtreatmentcenter', '#treatmentcenter', '#edresidential', '#edrec0very', '#edrecovry', '#anarec0very']"
edrecoverycoaches,7.48204E+18,,"['#edrec0very', '#edrecovry', '#anarec0very', '#anarecoveryy', '#miarecovery', '#bingeedrecovery', '#edcoach']"
edrecoverycoaches,7.48169E+18,,"['#snackideas', '#healthysnacking', '#grabandgo', '#foodrecommendation', '#edrecovry', '#edrec0very', '#edrecoverybff', '#anarecoveryy']"
edrecoverycoaches,7.48133E+18,,"['#edrecoverycoach', '#skinny', '#diet', '#edcoach', '#edrec0very', '#miarecovry', '#edrecovry', '#loseweight', '#dieting', '#dietingtips', '#weightlosscheck']"
edrecoverycoaches,7.48092E+18,,"['#edrec0very', '#edrecoverybff', '#edrecovry', '#anarec0very', '#anarecovry', '#miarecovery', '#bingeedrecovery']"
edrecoverycoaches,7.48022E+18,,"['#edrecovry', '#edrec0very', '#anarecoveryy', '#foodfreedom']"
edrecoverycoaches,7.4799E+18,,"['#edrecovry', '#edrec0very']"
edrecoverycoaches,7.47916E+18,,"['#edrec0very', '#edrecovry', '#anarec0very', '#anarecoveryy']"
edrecoverycoaches,7.47913E+18,,"['#edrec0very', '#edrecovry', '#anarecoveryy', '#anarecovry', '#miarecovery', '#bingeedrecovery', '#edcoach', '#edrecoverycoach']"
edrecoverycoaches,7.47875E+18,,"['#edrec0very', '#edrecovry']"
edrecoverycoaches,7.4784E+18,,"['#edrec0very', '#edrecovry', '#anarec0very', '#anarecovry', '#bingeedrecovery', '#edsheeranrecoveryy', '#miarecovery', '#edrecoverycoach', '#nutritioncoach']"
edrecoverycoaches,7.47802E+18,,"['#edrecovry', '#edrec0very', '#edrecoverybff', '#anarecoveryy', '#miarecovery', '#bingeedrecovery']"
edrecoverycoaches,7.478E+18,,"['#edrecovry', '#edrec0very', '#anarecoveryy', '#anarec0very', '#miarecovery', '#bingeedrecovery']"
edrecoverycoaches,7.47761E+18,,"['#edrecovry', '#edrec0very', '#edrecoverybff', '#anarecoveryy', '#edawareness', '#edsheeranrecoveryy']"
edrecoverycoaches,7.47761E+18,,"['#edrecovry', '#edrec0very', '#edrecoverybff', '#anarecoveryy', '#miarecovery', '#bingeedrecovery']"
edrecoverycoaches,7.47579E+18,,"['#edawareness', '#edawarness', '#edawarewness', '#edrec0very', '#edrecovry', '#anarecoveryy', '#anarec0very', '#edsheeranrecoveryy']"
edrecoverycoaches,7.47543E+18,,"['#edawareness', '#edawarewness', '#edawarness', '#edrec0very', '#edrecovry', '#edrecoverybff', '#miarecovery']"
edrecoverycoaches,7.47507E+18,,"['#edawareness', '#edawarewness', '#edawarenessweek', '#eatingdisorderawarenessweek', '#edrec0very', '#edrecovry']"
edrecoverycoaches,7.47016E+18,,"['#edrec0very', '#edrecovry', '#edrecoverybff', '#anarec0very', '#anarecoveryy', '#miarecovery', '#edawareness', '#recoveryispossible']"
edrecoverycoaches,7.46727E+18,,"['#edrecoverycoach', '#edcoach', '#nutritioncoach', '#bizcoach', '#foodfreedomcoach', '#9to5', '#sahmlife', '#worklifebalance', '#foodcoach']"
stepbystep_saoirse,7.44777E+18,,"['#antidepressants', '#sunburn', '#mentalhealtnz', '#mentalhealthawareness', '#anarec0very', '#nz']"
stepbystep_saoirse,7.48303E+18,,"['#fypシedrec0very', '#foodfreedom', '#ednotsheeranrec0very', '#homealone']"
stepbystep_saoirse,7.46038E+18,,"['#mentalhealtnz', '#anarec0very', '#edrec0very', '#mhawareness', '#antidepressants', '#fluoxetine', '#mentalhealthmatters', '#creatorsearchinsights']"
stepbystep_saoirse,7.49267E+18,,"['#mhrecovery', '#edrec0very', '#anarec0very', '#recoveryispossible', '#mhmatters']"
stepbystep_saoirse,7.49267E+18,,"['#recoveryispossible', '#shrecovering', '#shrec0very', '#mhrecovery', '#mhmatters', '#shscars', '#edrec0very']"
stepbystep_saoirse,7.49235E+18,,"['#recoveryispossible', '#maxandruby', '#maxandrubycake', '#healingjourney', '#healinginnerchild', '#edrec0very', '#mhrecovery', '#anarec0very']"
stepbystep_saoirse,7.49195E+18,,"['#recoveryispossible', '#edrec0very', '#mhrecovery', '#anarec0very', '#fypシedrec0very', '#gotmysparkback', '#solonglondon']"
stepbystep_saoirse,7.49194E+18,,"['#healingjourney', '#recoveryispossible', '#itgetsbetter', '#edrec0very', '#mhrecovery', '#jellycats', '#unibreak', '#longdistancefriendship']"
stepbystep_saoirse,7.49181E+18,,"['#creatorsearchinsights', '#healingjourney', '#itgetsbetter', '#recoveryispossible', '#reasonstorecover', '#mentalhealthnz', '#edrec0very', '#mhrecovery']"
stepbystep_saoirse,7.49161E+18,,"['#ninjacreami', '#overstimulation', '#mhmatters', '#mentalhealthnz', '#edrec0very', '#youdeservetoeat']"
stepbystep_saoirse,7.49157E+18,,"['#recoveryispossible', '#mhmatters', '#youdeservetoeat', '#reasonstorecover', '#edrec0very']"
stepbystep_saoirse,7.49157E+18,,"['#recoveryispossible', '#shrecovey', '#shrecovering', '#shfree', '#cleanstreak', '#mhmatters', '#mentalhealthnz']"
stepbystep_saoirse,7.49087E+18,,"['#edrec0very', '#recoverytiktok', '#recoveryispossible', '#youdeservetoeat', '#dietculturedropout', '#anarec0very', '#foodfreedomjourney']"
stepbystep_saoirse,7.49086E+18,,"['#edrec0very', '#ramenrecipe', '#recoverytiktok', '#youdeservetoeat', '#recoveryispossible', '#dietculturedropout']"
stepbystep_saoirse,7.49083E+18,,"['#edrec0very', '#skinnytok', '#youdeservetoeat', '#recoveryispossible', '#anarec0very', '#livschmidt', '#dietculturedropout']"
stepbystep_saoirse,7.49013E+18,,"['#edrec0very', '#reasonstorecover', '#youdeservetoeat', '#recoveryispossible', '#anarec0very', '#benandjerrys']"
stepbystep_saoirse,7.49012E+18,,"['#edresidential', '#edtreatmentcenter', '#edservices', '#edrec0very', '#recoveryjourney', '#recoveryispossible']"
stepbystep_saoirse,7.49008E+18,,"['#edawarenes', '#edrec0very', '#youhavenoidea', '#youdeservetoeat', '#edsheeranrecoveryy']"
stepbystep_saoirse,7.48971E+18,,"['#edrec0very', '#mealplan', '#youdeservetoeat', '#anarec0very', '#edsheeranrecoveryy', '#edmealplan', '#healingjourney', '#recoveryjourney', '#recoveryprogress']"
stepbystep_saoirse,7.48937E+18,,"['#edrec0very', '#mhrecovery', '#spendthedaywithme', '#edsheeranrecoveryy', '#mhmatters', '#anarec0very', '#anarec0very', '#youdeservetoeat']"
stepbystep_saoirse,7.48936E+18,,"['#mhrecovery', '#edrec0very', '#edsheeranrecoveryy', '#mhmatters', '#mentalhealthawareness', '#mentalhealthrecovery', '#orangejuice', '#healingjourney']"
stepbystep_saoirse,7.48933E+18,,"['#edrec0very', '#youdeservetoeat', '#edsheeranrecoveryy', '#mealplan', '#edmealplan', '#whatdoesshehaveonme', '#anarec0very']"
stepbystep_saoirse,7.48857E+18,,"['#edrec0very', '#edsheeranrecoveryy', '#mhmatters', '#anarec0very', '#youdeservetoeat', '#norestrictions']"
stepbystep_saoirse,7.48821E+18,,"['#mentalhealthmatters', '#mhsystemneedstochange', '#nzmhsystemsucks', '#mhmatters', '#aprilfools', '#edrec0very']"
stepbystep_saoirse,7.48788E+18,,"['#edsheeranrecoveryy', '#edrec0very', '#anarec0very', '#deppresiøn', '#weightgain', '#girlhood']"
stepbystep_saoirse,7.48786E+18,,"['#edrec0very', '#recoveryispossible', '#yogurtbowl', '#fruitbowl', '#anarec0very', '#recenteats', '#youknowme']"
stepbystep_saoirse,7.48752E+18,,"['#edrec0very', '#anarec0very', '#recoveryispossible', '#weightgain', '#bodypositivity', '#bodyneutrality']"
stepbystep_saoirse,7.48751E+18,,"['#edrec0very', '#anarec0very', '#recoveryispossible', '#icouldbeagoodmother', '#healingyourself', '#girlhood', '#fypシedrec0very']"
stepbystep_saoirse,7.48715E+18,,"['#edrec0very', '#anarec0very', '#fypシedrec0very', '#weightgain', '#recoveryispossible', '#healingyourself']"
stepbystep_saoirse,7.48707E+18,,"['#recoveryispossible', '#edrec0very', '#whatiworetoday', '#anarec0very']"
stepbystep_saoirse,7.48674E+18,,"['#needoh', '#therapytok', '#recoveryispossible', '#edrec0very', '#needohgumdrop']"
stepbystep_saoirse,7.48673E+18,,"['#anarec0very', '#edtreatmentcenter', '#edrec0very', '#fypシedrec0very', '#cannonevent', '#gurlhood', '#sickenoughdoesntexist']"
stepbystep_saoirse,7.48604E+18,,"['#anarec0very', '#edresidential', '#edtreatmentcenter', '#inpatient', '#edrec0very']"
stepbystep_saoirse,7.48602E+18,,"['#firstfootballgame', '#anarec0very', '#edrec0very', '#womensfootball', '#mindfulmovement']"
stepbystep_saoirse,7.48528E+18,,"['#gurlhood', '#addidas', '#addidasspezial', '#healingyourself', '#gracieabrams']"
stepbystep_saoirse,7.48525E+18,,"['#anarec0very', '#edrec0very', '#fypシedrec0very', '#edtreatmentcenter', '#edresidential']"
stepbystep_saoirse,7.48517E+18,,"['#anarec0very', '#edrec0very', '#fypシedrec0very', '#recoveryispossible']"
stepbystep_saoirse,7.48488E+18,,"['#anarec0very', '#edrec0very', '#fypシedrec0very', '#edresidential', '#edres', '#recoveryispossible', '#mhmatters']"
stepbystep_saoirse,7.48453E+18,,"['#mhmatters', '#anarec0very', '#shrecovey', '#edrec0very', '#mentalhealthmatters']"
stepbystep_saoirse,7.48449E+18,,"['#fypシedrec0very', '#recoveryispossible', '#edrec0very', '#anarec0very']"
stepbystep_saoirse,7.4838E+18,,"['#fypシedrec0very', '#mhmatters', '#mentalhealthmatters', '#suicideprevention', '#edrec0very', '#shrecovey']"
stepbystep_saoirse,7.4834E+18,,"['#fypシedrec0very', '#ednotsheeranrec0very', '#edrec0very', '#anarec0very', '#edtreatment', '#weightgain']"
stepbystep_saoirse,7.48305E+18,,['#fypシedrec0very']
stepbystep_saoirse,7.48268E+18,,"['#mhmatters', '#mentalhealthnz', '#mentalhealthmatters', '#inpatient', '#respite']"
stepbystep_saoirse,7.48263E+18,,"['#fypシedrec0very', '#whatigottoeat', '#foodfreedomjourney', '#foodfreedom', '#ednotsheeranrec0very', '#womad']"
stepbystep_saoirse,7.48192E+18,,"['#ednotsheeranrec0very', '#fypシedrec0very', '#mentalhealthnz', '#edrec0very', '#anarec0very']"
stepbystep_saoirse,7.48121E+18,,"['#ednotsheeranrec0very', '#gracieabrams', '#camden', '#fypシedrec0very']"
stepbystep_saoirse,7.48045E+18,,"['#ednotsheeranrec0very', '#fypシedrec0very', '#mhmatters', '#camhs', '#mentalhealthnz', '#edresidential', '#edtreatment']"
stepbystep_saoirse,7.48009E+18,,"['#edrec0very', '#anarec0very', '#edsheeranrecoveryy', '#foodguilt', '#foodfreedomjourney', '#yoghurtbowl']"
stepbystep_saoirse,7.48008E+18,,"['#edrec0very', '#foodfreedomjourney', '#fearfoodchallenge', '#cheesecakebrownies', '#exposuretherapy', '#nedawareness', '#anarec0very', '#cheesecake']"
giv3meareas0n,7.49107E+18,,"['#fyp', '#viral', '#slideshow', '#fypシ', '#foryoupage', '#random', '#archive', '#thevirginsu1sides']"
giv3meareas0n,7.49102E+18,,"['#fyp', '#viral', '#slideshow', '#mental', '#health', '#mentalhealth', '#mentalhealthmatters', '#mh', '#depression', '#anxiety', '#mommy', '#mother', '#mom', '#mommyissues', '#parentissues', '#attachmentissues']"
giv3meareas0n,7.48823E+18,,"['#fyp', '#viral', '#slideshow', '#mental', '#health', '#mentalhealth', '#mentalhealthmatters', '#mh', '#depression', '#anxiety', '#mommy', '#mother', '#mom', '#mommyissues', '#parentissues', '#ily', '#fypシ']"
giv3meareas0n,7.48745E+18,,"['#cassie', '#fyp', '#viral', '#slideshow', '#mental', '#health', '#mentalhealth', '#mentalhealthmatters', '#mh', '#depression', '#food', '#ednotesheeran', '#wannarexia', '#weight', '#bed', '#bingeedrecovery', '#ana']"
giv3meareas0n,7.48522E+18,,"['#cassie', '#cassieskins', '#skins', '#fyp', '#viral', '#slideshow', '#mental', '#health', '#mentalhealth', '#mentalhealthmatters', '#mh', '#depression', '#food', '#ednotesheeran', '#wannarexia', '#weight', '#bed', '#bingeedrecovery', '#ana', '#greenscreen']"
giv3meareas0n,7.48481E+18,,"['#fyp', '#viral', '#slideshow', '#mental', '#health', '#mentalhealth', '#mentalhealthmatters', '#mh', '#depression', '#food', '#ednotesheeran', '#wannarexia', '#weight', '#bed', '#bingeedrecovery', '#ana']"
giv3meareas0n,7.483E+18,,"['#fyp', '#viral', '#slideshow', '#mental', '#health', '#mentalhealth', '#mentalhealthmatters', '#mh', '#room', '#messy', '#messyroom', '#student', '#athlete', '#studentathlete', '#grades', '#depression']"
giv3meareas0n,7.48297E+18,,[]
giv3meareas0n,7.48265E+18,,[]
dearkera,7.46797E+18,,[]
dearkera,7.46466E+18,,[]
dearkera,7.49096E+18,,"['#recovery', '#3drecovery', '#ngtube', '#edtreatmentcenter', '#inpatient', '#waldenbehavioralcare', '#edrec0very', '#ana', '#mhawareness', '#MentalHealth', '#recoveryispossible', '#ednotsheereen', '#anarecovery', '#ednotsheeranrecovery']"
dearkera,7.48912E+18,,"['#recovery', '#3drecovery', '#ngtube', '#edtreatmentcenter', '#inpatient', '#waldenbehavioralcare', '#edrec0very', '#ana', '#mhawareness', '#MentalHealth', '#recoveryispossible', '#ednotsheereen', '#anarecovery', '#ednotsheeranrecovery', '#rottengirl', '#jojifuku', '#mikurottengirl']"
dearkera,7.48801E+18,,"['#ednotsheeranrecOvery', '#anarecovery', '#ednotsheere', '#recoveryispossible', '#MentalHealth', '#mhawareness', '#ana', '#edrecOvery', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.48652E+18,,"['#ednotsheeranrec0very', '#anarecovery', '#ednotsheereen', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.48615E+18,,"['#ednotsheeranrec0very', '#anarecovery', '#ednotsheereen', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery', '#vladaroslyakova', '#slavicdolls', '#snejanaonopka']"
dearkera,7.48579E+18,,"['#ednotsheeranrec0very', '#anarecovery', '#ednotsheereen', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery', '#lanadelrey']"
dearkera,7.4844E+18,,[]
dearkera,7.48403E+18,,"['#ednotsheeranrec0very', '#anarecovery', '#ednotsheereen', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.48354E+18,,"['#ednotsheeranrec0very', '#anarecovery', '#ednotsheereen', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.48256E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.48096E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.48071E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery', '#cassieskins']"
dearkera,7.47996E+18,,"['#tetoris', '#kasaneteto', '#teto', '#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.47996E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3drecovery', '#recovery']"
dearkera,7.47664E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3dtok', '#3drecovery', '#recovery']"
dearkera,7.4759E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#ana', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#3dtok', '#3drecovery', '#recovery']"
dearkera,7.47578E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube']"
dearkera,7.47515E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube']"
dearkera,7.47515E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube', '#antipsychotics']"
dearkera,7.47441E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube']"
dearkera,7.47329E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube']"
dearkera,7.47292E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter', '#ngtube']"
dearkera,7.47104E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#waldenbehavioralcare', '#inpatient', '#edtreatmentcenter']"
dearkera,7.47066E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#wieiad', '#wieiadedrecovery', '#wieiadrealistic']"
dearkera,7.46911E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#wieiad', '#wieiadedrecovery', '#wieiadrealistic', '#meirl']"
dearkera,7.46806E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#wieiad', '#wieiadedrecovery', '#wieiadrealistic', '#meirl']"
dearkera,7.46773E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#wieiad', '#wieiadedrecovery', '#wieiadrealistic']"
dearkera,7.46725E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#wieiad', '#wieiadedrecovery', '#wieiadrealistic']"
dearkera,7.46702E+18,,"['#ednotsheereen', '#meirl']"
dearkera,7.46699E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#recoveryispossible', '#mentalhealth', '#mhawareness', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#wieiad', '#wieiadedrecovery', '#wieiadrealistic']"
dearkera,7.46658E+18,,[]
dearkera,7.46507E+18,,"['#mentalhealth', '#mhawareness', '#recoveryispossible', '#meirl', '#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#wieiad', '#wieiadedrecovery', '#wieiadrealistic']"
dearkera,7.46442E+18,,"['#mentalhealth', '#mhawareness', '#recoveryispossible', '#meirl']"
dearkera,7.46442E+18,,"['#ednotsheereen', '#ednotsheeranrec0very', '#anarecovery', '#mukbangs', '#snejanaonopka', '#katemoss', '#slavicdolls', '#ana', '#mentalhealth', '#mhawareness', '#calories', '#winterarc', '#weightloss', '#skinny', '#edrec0very', '#recoveryispossible', '#meirl']"
